id,name,type,enabled,origin
100001,Devices with High Event Rates,EVENT,False,SYSTEM
100003,Excessive Database Connections,EVENT,True,SYSTEM
100006,Anomaly: Excessive Firewall Accepts Across Multiple Hosts,EVENT,False,SYSTEM
100044,Excessive Firewall Denies from Single Source,EVENT,True,SYSTEM
100045,AssetExclusion: Exclude DNS Name By IP,EVENT,True,SYSTEM
100046,AssetExclusion: Exclude DNS Name By MAC Address,EVENT,True,SYSTEM
100047,AssetExclusion: Exclude DNS Name By NetBIOS Name,EVENT,True,SYSTEM
100048,AssetExclusion: Exclude IP By DNS Name,EVENT,True,SYSTEM
100049,AssetExclusion: Exclude IP By MAC Address,EVENT,True,SYSTEM
100050,AssetExclusion: Exclude IP By NetBIOS Name,EVENT,True,SYSTEM
100051,AssetExclusion: Exclude MAC Address By DNS Name,EVENT,True,SYSTEM
100052,AssetExclusion: Exclude MAC Address By IP,EVENT,True,SYSTEM
100053,AssetExclusion: Exclude MAC Address By NetBIOS Name,EVENT,True,SYSTEM
100054,AssetExclusion: Exclude NetBIOS Name By DNS Name,EVENT,True,SYSTEM
100055,AssetExclusion: Exclude NetBIOS Name By IP,EVENT,True,SYSTEM
100056,AssetExclusion: Exclude NetBIOS Name By MAC Address,EVENT,True,SYSTEM
100057,Login Failure to Disabled Account,EVENT,False,SYSTEM
100059,Login Failure to Expired Account,EVENT,False,SYSTEM
100061,Login Failures Followed By Success from the same Source IP,EVENT,True,SYSTEM
100062,Multiple Login Failures from the Same Source,EVENT,True,SYSTEM
100064,Login Failures Followed By Success to the same Destination IP,EVENT,True,SYSTEM
100065,Multiple Login Failures to the Same Destination,EVENT,True,SYSTEM
100066,Login Failures Followed By Success to the same Username,EVENT,True,SYSTEM
100067,Multiple Login Failures for Single Username,EVENT,True,SYSTEM
100068,Login Successful After Scan Attempt,COMMON,True,SYSTEM
100069,Multiple Login Failures from the Same Source (Windows),EVENT,False,SYSTEM
